Caso;Coste medio obtenido;Desv;Tiempo
GKD-b_1_n25_m2;0;0.00;250.00
GKD-b_2_n25_m2;0;0.00;250.00
GKD-b_3_n25_m2;0;0.00;249.00
GKD-b_4_n25_m2;0;0.00;245.00
GKD-b_5_n25_m2;0;0.00;237.00
GKD-b_6_n25_m7;35.6182;0.64;452.00
GKD-b_7_n25_m7;30.3901;0.54;471.00
GKD-b_8_n25_m7;16.7612;0.00;469.00
GKD-b_9_n25_m7;28.5003;0.40;474.00
GKD-b_10_n25_m7;51.4246;0.55;564.00
GKD-b_11_n50_m5;18.4376;0.90;1085.00
GKD-b_12_n50_m5;21.2907;0.90;841.00
GKD-b_13_n50_m5;18.2319;0.87;740.00
GKD-b_14_n50_m5;10.8287;0.85;718.00
GKD-b_15_n50_m5;7.87207;0.64;733.00
GKD-b_16_n50_m15;102.974;0.58;1261.00
GKD-b_17_n50_m15;125.241;0.62;1320.00
GKD-b_18_n50_m15;130.219;0.67;1282.00
GKD-b_19_n50_m15;144.056;0.68;1229.00
GKD-b_20_n50_m15;95.6783;0.50;1274.00
GKD-b_21_n100_m10;56.6047;0.76;2064.00
GKD-b_22_n100_m10;52.6683;0.74;2036.00
GKD-b_23_n100_m10;33.5508;0.54;2076.00
GKD-b_24_n100_m10;31.2726;0.72;2004.00
GKD-b_25_n100_m10;33.9231;0.49;2051.00
GKD-b_26_n100_m30;259.604;0.35;2985.00
GKD-b_27_n100_m30;283.339;0.55;2933.00
GKD-b_28_n100_m30;278.741;0.62;2983.00
GKD-b_29_n100_m30;193.639;0.29;2944.00
GKD-b_30_n100_m30;243.192;0.48;2974.00
GKD-b_31_n125_m12;40.1804;0.71;2700.00
GKD-b_32_n125_m12;62.2194;0.70;2515.00
GKD-b_33_n125_m12;48.6608;0.62;2494.00
GKD-b_34_n125_m12;31.6692;0.38;2600.00
GKD-b_35_n125_m12;50.6629;0.64;2487.00
GKD-b_36_n125_m37;341.892;0.55;3532.00
GKD-b_37_n125_m37;346.528;0.43;3642.00
GKD-b_38_n125_m37;378.514;0.50;3514.00
GKD-b_39_n125_m37;399.569;0.58;3709.00
GKD-b_40_n125_m37;538.038;0.67;3608.00
GKD-b_41_n150_m15;47.0852;0.50;3273.00
GKD-b_42_n150_m15;47.6191;0.44;3341.00
GKD-b_43_n150_m15;42.9248;0.38;3211.00
GKD-b_44_n150_m15;57.1604;0.55;3249.00
GKD-b_45_n150_m15;47.0668;0.41;3204.00
GKD-b_46_n150_m45;436.965;0.48;4511.00
GKD-b_47_n150_m45;449.855;0.49;4381.00
GKD-b_48_n150_m45;445.189;0.49;4331.00
GKD-b_49_n150_m45;470.723;0.52;4757.00
GKD-b_50_n150_m45;643.234;0.61;4668.00
